国家/地区,点击次数,展示,点击率,排名
美国,2,936,0.21%,34.94
墨西哥,1,195,0.51%,22.53
西班牙,1,124,0.81%,39.65
阿根廷,1,23,4.35%,50
意大利,1,4,25%,44.75
加拿大,0,141,0%,52.6
智利,0,136,0%,35.46
英国,0,124,0%,67.51
秘鲁,0,73,0%,25.59
哥伦比亚,0,68,0%,46.01
澳大利亚,0,67,0%,63.73
菲律宾,0,46,0%,73.72
台湾,0,37,0%,24.84
印度尼西亚,0,36,0%,22.75
印度,0,36,0%,68.64
厄瓜多尔,0,31,0%,31.52
马来西亚,0,30,0%,78.4
荷兰,0,29,0%,60.52
沙特阿拉伯,0,27,0%,69.81
新加坡,0,24,0%,60.12
巴西,0,24,0%,65.17
巴基斯坦,0,22,0%,77.55
玻利维亚,0,19,0%,24.58
中国香港,0,19,0%,58.21
埃及,0,19,0%,71
南非,0,19,0%,82.11
多米尼加共和国,0,16,0%,8.94
斯里兰卡,0,16,0%,83.25
洪都拉斯,0,14,0%,26.29
危地马拉,0,13,0%,18.54
巴拿马,0,13,0%,29.92
哥斯达黎加,0,13,0%,36.08
泰国,0,13,0%,63.62
德国,0,13,0%,66.54
以色列,0,12,0%,72.67
委内瑞拉,0,11,0%,43.36
瑞典,0,11,0%,48
肯尼亚,0,11,0%,70.27
中国,0,10,0%,6.2
萨尔瓦多,0,10,0%,19.3
丹麦,0,9,0%,45.56
阿拉伯联合酋长国,0,9,0%,66.22
尼加拉瓜,0,8,0%,31
挪威,0,8,0%,42.5
爱尔兰,0,8,0%,61.62
新西兰,0,7,0%,52
芬兰,0,6,0%,47.5
赞比亚,0,6,0%,49.17
孟加拉,0,6,0%,85.17
澳门,0,5,0%,8.4
波多黎各,0,5,0%,9.4
韩国,0,5,0%,46.8
法国,0,5,0%,58.4
缅甸,0,5,0%,64
约旦,0,5,0%,79.4
乌拉圭,0,4,0%,16.75
坦桑尼亚,0,4,0%,83
希腊,0,4,0%,83.75
尼日利亚,0,4,0%,84.5
巴拉圭,0,3,0%,32.33
卡塔尔,0,3,0%,59.67
黎巴嫩,0,3,0%,64.67
巴林,0,3,0%,75.67
拉脱维亚,0,2,0%,4.5
关岛,0,2,0%,10.5
俄罗斯,0,2,0%,44
捷克,0,2,0%,51
伊拉克,0,2,0%,52.5
摩洛哥,0,2,0%,63.5
乌克兰,0,2,0%,73.5
牙买加,0,2,0%,83.5
奥地利,0,1,0%,8
突尼斯,0,1,0%,9
日本,0,1,0%,10
波兰,0,1,0%,10
古巴,0,1,0%,11
科威特,0,1,0%,16
巴勒斯坦,0,1,0%,26
乌兹别克斯坦,0,1,0%,30
瑞士,0,1,0%,56
加纳,0,1,0%,69
阿尔及利亚,0,1,0%,74
越南,0,1,0%,76
尼泊尔,0,1,0%,86
莫桑比克,0,1,0%,99
