日期,点击次数,展示,点击率,排名
2025-10-28,0,0,,
2025-10-29,0,7,0%,65.9
2025-10-30,0,22,0%,55.6
2025-10-31,0,38,0%,64.8
2025-11-01,0,9,0%,89.9
2025-11-02,0,26,0%,73.5
2025-11-03,0,23,0%,88.8
2025-11-04,0,10,0%,45.7
2025-11-05,0,20,0%,76.8
2025-11-06,0,17,0%,48.2
2025-11-07,0,31,0%,37.6
2025-11-08,0,78,0%,53.7
2025-11-09,1,76,1.32%,36.1
2025-11-10,0,79,0%,23.1
2025-11-11,0,115,0%,23.5
2025-11-12,0,91,0%,22.8
2025-11-13,0,134,0%,27.7
2025-11-14,0,91,0%,29.8
2025-11-15,0,70,0%,40.5
2025-11-16,0,43,0%,43.3
2025-11-17,2,64,3.12%,52.9
2025-11-18,0,40,0%,67.4
2025-11-19,0,59,0%,54.5
2025-11-20,1,49,2.04%,49.9
2025-11-21,0,50,0%,40.8
2025-11-22,0,40,0%,35
2025-11-23,0,55,0%,52.9
2025-11-24,0,50,0%,50.5
2025-11-25,0,57,0%,42.8
2025-11-26,0,67,0%,53.5
2025-11-27,0,91,0%,46.5
2025-11-28,0,49,0%,45.4
2025-11-29,0,53,0%,42.9
2025-11-30,1,61,1.64%,48
2025-12-01,0,60,0%,33.2
2025-12-02,0,30,0%,35.4
2025-12-03,0,25,0%,34.6
2025-12-04,0,28,0%,33.9
2025-12-05,0,16,0%,67.4
2025-12-06,0,17,0%,49.2
2025-12-07,0,5,0%,77
2025-12-08,0,6,0%,44.5
2025-12-09,1,8,12.5%,43
2025-12-10,0,12,0%,73.1
2025-12-11,0,5,0%,54.4
2025-12-12,0,8,0%,39.8
2025-12-13,0,46,0%,37.1
2025-12-14,0,70,0%,40
2025-12-15,0,88,0%,45.6
2025-12-16,0,90,0%,47.8
2025-12-17,0,83,0%,34.2
2025-12-18,0,87,0%,34.3
2025-12-19,0,81,0%,43.3
2025-12-20,0,110,0%,48
